,Area,Area Latitude,Area Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
28,Aldgate,51.5142477,-0.0757186,The Craft Beer Co.,51.513859979805055,-0.07849661112357201,Beer Bar
29,Aldgate,51.5142477,-0.0757186,Hohaki,51.51619149876008,-0.07619522718899924,Vietnamese Restaurant
30,Aldgate,51.5142477,-0.0757186,Black Sheep Coffee,51.51399012605527,-0.07545866603170544,Coffee Shop
31,Aldgate,51.5142477,-0.0757186,PureGym,51.51447478691898,-0.07717315638621487,Gym / Fitness Center
32,Aldgate,51.5142477,-0.0757186,Anokha,51.51375482882119,-0.07923020156645716,Indian Restaurant
33,Aldgate,51.5142477,-0.0757186,Omnino,51.51329283951981,-0.07829723507394994,Steakhouse
34,Aldgate,51.5142477,-0.0757186,Duke Of Somerset,51.51364401508566,-0.07386195153787867,Pub
35,Aldgate,51.5142477,-0.0757186,Jin Bo Law,51.51400408502046,-0.07586896419525146,Cocktail Bar
36,Aldgate,51.5142477,-0.0757186,Whitechapel Grind,51.51440918709595,-0.07283383075132631,Coffee Shop
37,Aldgate,51.5142477,-0.0757186,Thai Square,51.51245347166384,-0.07562590584204959,Thai Restaurant
38,Aldgate,51.5142477,-0.0757186,Pret A Manger,51.513943128415576,-0.07354872363066331,Sandwich Place
39,Aldgate,51.5142477,-0.0757186,The Mayfair Chippy Fish & Chips,51.512737,-0.07552631,Seafood Restaurant
40,Aldgate,51.5142477,-0.0757186,Randy’s,51.512033,-0.075466,American Restaurant
41,Aldgate,51.5142477,-0.0757186,Peter's Cafe,51.514076333720574,-0.07548166653116856,Café
42,Aldgate,51.5142477,-0.0757186,The Chamberlain Hotel,51.512229729180774,-0.07567574603274352,Hotel
43,Aldgate,51.5142477,-0.0757186,VQ,51.5141463812188,-0.07592652061320868,Hotel Bar
44,Aldgate,51.5142477,-0.0757186,The Hoop and Grapes,51.51440047636659,-0.07428547372842745,Pub
45,Aldgate,51.5142477,-0.0757186,itsu,51.513831582240705,-0.07605615951230273,Sushi Restaurant
46,Aldgate,51.5142477,-0.0757186,The Rajasthan 2,51.51258403803977,-0.07604366158643386,Indian Restaurant
47,Aldgate,51.5142477,-0.0757186,Costa Coffee,51.51496605701538,-0.07265757461434456,Coffee Shop
48,Aldgate,51.5142477,-0.0757186,Thai Express,51.51382697986797,-0.07351093480683764,Thai Restaurant
49,Aldgate,51.5142477,-0.0757186,Abokado,51.513515737544076,-0.07336847959094858,Sushi Restaurant
50,Aldgate,51.5142477,-0.0757186,Three Lords,51.512615017394054,-0.07540846410905107,Pub
51,Aldgate,51.5142477,-0.0757186,Bluez Souvlaki Fresh,51.51393607553121,-0.07356041906564245,Greek Restaurant
52,Aldgate,51.5142477,-0.0757186,Subway,51.513791711889105,-0.07555885845863486,Sandwich Place
53,Aldgate,51.5142477,-0.0757186,Still & Star,51.51386398597891,-0.07471340641915052,Pub
54,Aldwych,51.513103,-0.1149205,Temple Brew House,51.51294,-0.113029,Pub
55,Aldwych,51.513103,-0.1149205,180 The Strand,51.512671386264635,-0.11500919299834307,Art Gallery
56,Aldwych,51.513103,-0.1149205,The Pig and Goose,51.51328712156263,-0.11327268421425365,French Restaurant
57,Aldwych,51.513103,-0.1149205,The Delaunay,51.513181,-0.117988,Restaurant
58,Aldwych,51.513103,-0.1149205,Roka,51.51331205048269,-0.11619353881481752,Japanese Restaurant
59,Aldwych,51.513103,-0.1149205,Twinings,51.51342058021976,-0.11295487718369175,Tea Room
60,Aldwych,51.513103,-0.1149205,Aldwych Underground Station (Disused),51.512386025685814,-0.11585230508813124,Historic Site
61,Aldwych,51.513103,-0.1149205,Lundenwic,51.51282288678408,-0.11834277753045877,Coffee Shop
62,Aldwych,51.513103,-0.1149205,The Fleet Street Press,51.51371026031107,-0.11167758763191621,Coffee Shop
63,Aldwych,51.513103,-0.1149205,The Courtauld Gallery,51.5115843854343,-0.11755949510958881,Art Museum
64,Aldwych,51.513103,-0.1149205,The Edgar Wallace,51.51258527863651,-0.11281911311490778,Pub
65,Aldwych,51.513103,-0.1149205,Seven Stars,51.5149733305941,-0.11345140323730123,Pub
66,Aldwych,51.513103,-0.1149205,Birley Sandwiches,51.512963373475344,-0.1132563740914341,Sandwich Place
67,Aldwych,51.513103,-0.1149205,Middle Temple,51.51244063655436,-0.1116187291203534,Building
68,Aldwych,51.513103,-0.1149205,Waterstones,51.514393035125565,-0.11686656555732454,Bookstore
69,Aldwych,51.513103,-0.1149205,The George,51.513210583440035,-0.11320523601784521,Pub
70,Aldwych,51.513103,-0.1149205,Victoria Embankment Gardens Temple Section,51.511318,-0.112876,Park
71,Aldwych,51.513103,-0.1149205,The Cheshire Cheese,51.512531397347644,-0.11317753340511719,Pub
72,Aldwych,51.513103,-0.1149205,Adore Remo,51.51351995978367,-0.11231845718290043,Italian Restaurant
73,Aldwych,51.513103,-0.1149205,Tesco Express,51.51366909900809,-0.1122456567730402,Grocery Store
74,Aldwych,51.513103,-0.1149205,George IV,51.5147539746922,-0.11680086152260558,Pub
75,Aldwych,51.513103,-0.1149205,Pret A Manger,51.51343205715861,-0.11294675864386039,Sandwich Place
76,Aldwych,51.513103,-0.1149205,Daly's Wine Bar,51.51313857693691,-0.11342760033786418,Wine Bar
77,Aldwych,51.513103,-0.1149205,Soho Coffee,51.51333340844481,-0.11332506007445231,Coffee Shop
78,Aldwych,51.513103,-0.1149205,Roman Bath,51.51175842781427,-0.11605800972142412,Historic Site
79,Aldwych,51.513103,-0.1149205,Wright's Bar,51.51353756985799,-0.11663251123303654,Sandwich Place
80,Aldwych,51.513103,-0.1149205,Ye Old White Horse,51.514607413293305,-0.11713469684920262,Pub
81,Aldwych,51.513103,-0.1149205,The Devereux,51.51277473998438,-0.11246296927274649,Pub
82,Aldwych,51.513103,-0.1149205,Simmons Bar,51.51286,-0.11364553,Bar
83,Aldwych,51.513103,-0.1149205,LSE Garrick,51.51340512466996,-0.11658822410242595,Café
84,Aldwych,51.513103,-0.1149205,Thai Square Wig And Pen,51.51362254884641,-0.11240837625990001,Thai Restaurant
85,Aldwych,51.513103,-0.1149205,Chapters,51.51124582995415,-0.11583350645222744,Restaurant
86,Anerley,51.4075993,-0.0619394,Aldi,51.408603514817685,-0.059212837044110365,Supermarket
87,Anerley,51.4075993,-0.0619394,Noodle Time,51.406172466183826,-0.059936871620039696,Asian Restaurant
88,Anerley,51.4075993,-0.0619394,H&H Kebab House,51.409030829563505,-0.059266090393066406,Fast Food Restaurant
89,Angel,51.5319458,-0.1061056,Present & Correct,51.53014701529403,-0.1062308090426986,Paper / Office Supplies Store
90,Angel,51.5319458,-0.1061056,Saint Espressō,51.53191883247756,-0.10756547340111304,Coffee Shop
91,Angel,51.5319458,-0.1061056,Virgin Active,51.5313435,-0.1051354,Gym / Fitness Center
92,Angel,51.5319458,-0.1061056,The Three Johns,51.53282519184789,-0.10918573644362756,Pub
93,Angel,51.5319458,-0.1061056,Oseyo,51.53382280847399,-0.10680999313761128,Korean Restaurant
94,Angel,51.5319458,-0.1061056,Moro Market Stall,51.53146203403172,-0.1068774116600583,Food Truck
95,Angel,51.5319458,-0.1061056,Candid Arts Trust,51.532146649432356,-0.10524401248844328,Art Gallery
96,Angel,51.5319458,-0.1061056,Terrace Kitchen,51.533541414001576,-0.10807219901482874,Turkish Restaurant
97,Angel,51.5319458,-0.1061056,Made In Little France,51.53044393916645,-0.10568686698542759,Wine Shop
98,Angel,51.5319458,-0.1061056,Bombay Burrito,51.53179725868664,-0.1057490647845315,Burrito Place
99,Angel,51.5319458,-0.1061056,The Hummingbird Bakery,51.53128786443475,-0.10631730198397557,Cupcake Shop
100,Angel,51.5319458,-0.1061056,The Gate,51.530136542056766,-0.10537073299245699,Vegetarian / Vegan Restaurant
101,Angel,51.5319458,-0.1061056,DoubleTree by Hilton,51.53201395171824,-0.10944163712729484,Hotel
102,Angel,51.5319458,-0.1061056,Islington Town House,51.53374478763658,-0.10710865259170532,Pub
103,Angel,51.5319458,-0.1061056,Scarlett Coffee Roastery,51.53357,-0.10437012,Coffee Shop
104,Angel,51.5319458,-0.1061056,Electrowerkz,51.53241598683132,-0.10504786693057028,Nightclub
105,Angel,51.5319458,-0.1061056,Brewhouse & Kitchen,51.5318846712216,-0.10570321560570183,Brewery
106,Angel,51.5319458,-0.1061056,Duncan Terrace Cafe,51.53162376534854,-0.1047959472812522,Café
107,Angel,51.5319458,-0.1061056,Sasa Sushi,51.53154094060973,-0.10617476458911942,Sushi Restaurant
108,Angel,51.5319458,-0.1061056,Caffe Mobile,51.533726437637455,-0.10528286874535353,Coffee Shop
109,Angel,51.5319458,-0.1061056,Chapel Market,51.53352287954976,-0.10840415954589844,Street Food Gathering
110,Angel,51.5319458,-0.1061056,The Harlequin Pub,51.52994970078415,-0.10631505788107232,Pub
111,Angel,51.5319458,-0.1061056,Niche,51.52990891776221,-0.10533369373642222,Restaurant
112,Angel,51.5319458,-0.1061056,Candid Cafe,51.532045851234045,-0.10517713723626507,Café
113,Angel,51.5319458,-0.1061056,Bill's Restaurant,51.53283715470259,-0.10685821596610146,English Restaurant
114,Angel,51.5319458,-0.1061056,DW Fitness First,51.531285244546424,-0.1032131429525158,Gym / Fitness Center
115,Angel,51.5319458,-0.1061056,L'Angelo Cafe,51.531898227644696,-0.10747978548454634,Café
116,Angel,51.5319458,-0.1061056,The Angel Kitchen,51.53131466540304,-0.10656409760913785,Coffee Shop
117,Angel,51.5319458,-0.1061056,Waitrose & Partners,51.53389316487267,-0.10725447879826788,Supermarket
118,Angel,51.5319458,-0.1061056,Uniqlo,51.53402,-0.106789134,Clothing Store
119,Angel,51.5319458,-0.1061056,Paperchase,51.53413202658091,-0.10665649411899354,Stationery Store
120,Angel,51.5319458,-0.1061056,Pret A Manger,51.531025742217565,-0.10612928380801272,Sandwich Place
121,Angel,51.5319458,-0.1061056,Pilates HQ,51.53259865163729,-0.10627064815457671,Yoga Studio
122,Angel,51.5319458,-0.1061056,Masigo,51.533627,-0.108379,Korean Restaurant
123,Angel,51.5319458,-0.1061056,Duncan Terrace Garden,51.53197449828029,-0.10501384735107422,Garden
124,Angel,51.5319458,-0.1061056,Superdrug,51.53340301246726,-0.1075049600208589,Pharmacy
125,Angel,51.5319458,-0.1061056,Pret A Manger,51.531057044046804,-0.1061137880830337,Sandwich Place
126,Angel,51.5319458,-0.1061056,M&S Foodhall,51.53364,-0.106814615,Grocery Store
127,Angel,51.5319458,-0.1061056,Abokado,51.53096909598265,-0.10603364655759796,Sushi Restaurant
128,Angel,51.5319458,-0.1061056,BananaTree,51.53127061587266,-0.10626082512568326,Indonesian Restaurant
129,Angel,51.5319458,-0.1061056,Lilian Baylis Studio,51.52982579141672,-0.10615323343389058,Theater
130,Angel,51.5319458,-0.1061056,Sainsbury's,51.53412730311763,-0.10694828462681752,Supermarket
131,Angel,51.5319458,-0.1061056,The Pearl and Feather,51.529819224971064,-0.10510702473492381,English Restaurant
132,Archway,51.5654371,-0.1349977,Bread And Bean,51.56458259855817,-0.1350181297050019,Coffee Shop
133,Archway,51.5654371,-0.1349977,Hot Wok Kitchen,51.56492204508801,-0.1328213117563894,Asian Restaurant
134,Archway,51.5654371,-0.1349977,500 Italian Restaurant,51.56494488202024,-0.1328333955673981,Italian Restaurant
135,Archway,51.5654371,-0.1349977,M&S Foodhall,51.565173058573905,-0.13548374176025388,Supermarket
136,Archway,51.5654371,-0.1349977,The Sitara,51.56503488140031,-0.13302789660671688,Indian Restaurant
137,Archway,51.5654371,-0.1349977,Premier Inn London Archway,51.5656188,-0.1358007,Hotel
138,Archway,51.5654371,-0.1349977,Coffee Republic,51.56441355972323,-0.13525537637781854,Coffee Shop
139,Archway,51.5654371,-0.1349977,ll Mio Mosaic,51.56470076355026,-0.13516058723779936,Italian Restaurant
140,Archway,51.5654371,-0.1349977,Archway Market,51.565653245804114,-0.13466835021972656,Farmers Market
141,Archway,51.5654371,-0.1349977,Starbucks,51.565378,-0.134376,Coffee Shop
142,Archway,51.5654371,-0.1349977,Che Cosa,51.56474710106064,-0.13232546185522895,Pizza Place
143,Archway,51.5654371,-0.1349977,Whittington Stone Pub,51.56629430741794,-0.13675585706039328,Bar
144,Archway,51.5654371,-0.1349977,Loving Hut,51.5650658957143,-0.1332305005508439,Vegetarian / Vegan Restaurant
145,Archway,51.5654371,-0.1349977,Iceland,51.56390190124512,-0.13536036014556885,Grocery Store
146,Archway,51.5654371,-0.1349977,Subway,51.56526698840427,-0.13502659214532287,Sandwich Place
147,Archway,51.5654371,-0.1349977,Co-op Food,51.565051652632356,-0.13472352327367165,Grocery Store
148,Archway,51.5654371,-0.1349977,Better Archway Leisure Centre,51.56567003960332,-0.1362840607333427,Gym / Fitness Center
149,Archway,51.5654371,-0.1349977,The Mother Redcap,51.56504436003809,-0.13302713470551142,Pub
150,Archway,51.5654371,-0.1349977,McDonald's,51.56601,-0.13584,Fast Food Restaurant
151,Archway,51.5654371,-0.1349977,The Intrepid Fox,51.56568984075429,-0.13482423900437715,Bar
152,Archway,51.5654371,-0.1349977,Archway Kebab Center,51.56511299821289,-0.13309391173965043,Kebab Restaurant
153,Archway,51.5654371,-0.1349977,Sainsbury's Local,51.56511134245256,-0.13308369599140582,Grocery Store
154,Archway,51.5654371,-0.1349977,Wenzel's,51.565556,-0.13446987,Bakery
155,Archway,51.5654371,-0.1349977,Bus Stop U,51.56506175695279,-0.13470868932614832,Bus Stop
156,Archway,51.5654371,-0.1349977,Bus Stop E Archway Station,51.56594128801166,-0.13539742874590208,Bus Stop
157,Archway,51.5654371,-0.1349977,Crudough,51.566166,-0.134994,Pizza Place
158,Arnos Grove,51.6164024,-0.1332873,The Arnos Arms,51.616044,-0.132136,Beer Bar
159,Arnos Grove,51.6164024,-0.1332873,Sainsbury's Local,51.61634670260136,-0.13588127505673261,Grocery Store
160,Arnos Grove,51.6164024,-0.1332873,Arnos Kebab House,51.616197062742614,-0.1348750666628815,Turkish Restaurant
161,Balham,51.4456449,-0.1503643,We Brought Beer,51.44432378531036,-0.1506561166853583,Beer Store
162,Balham,51.4456449,-0.1503643,M1LK,51.444449979824185,-0.15091257447873122,Coffee Shop
163,Balham,51.4456449,-0.1503643,Ciullosteria,51.447144,-0.148981,Italian Restaurant
164,Balham,51.4456449,-0.1503643,Brickwood Coffee & Bread,51.444509468750546,-0.15112663527852835,Coffee Shop
165,Balham,51.4456449,-0.1503643,Franco Manca,51.443616,-0.149959,Pizza Place
166,Balham,51.4456449,-0.1503643,Balham Bowls Club,51.44498378981488,-0.1523060968555919,Pub
167,Balham,51.4456449,-0.1503643,Arlo's,51.44473331258851,-0.1519070067417888,Steakhouse
168,Balham,51.4456449,-0.1503643,The Wine Tasting Shop,51.44446128392331,-0.1509116640052125,Shop & Service
169,Balham,51.4456449,-0.1503643,Waitrose & Partners,51.44563511247586,-0.15161793470360863,Supermarket
170,Balham,51.4456449,-0.1503643,Indian Room,51.44342448118601,-0.15015355910708686,Indian Restaurant
171,Balham,51.4456449,-0.1503643,Hagen & Hyde,51.44396241632104,-0.15236940544336086,Pub
172,Balham,51.4456449,-0.1503643,Blackbird Bakery,51.4444908990581,-0.1511335351553863,Bakery
173,Balham,51.4456449,-0.1503643,The Devonshire,51.44692192154592,-0.1488986699944405,Pub
174,Balham,51.4456449,-0.1503643,South River Coffee,51.446389,-0.149749,Coffee Shop
175,Balham,51.4456449,-0.1503643,The Kebab Company,51.44577339255865,-0.15040701519649213,Fast Food Restaurant
176,Balham,51.4456449,-0.1503643,Hot Bikram Yoga,51.444324351569605,-0.15145266313078617,Yoga Studio
177,Balham,51.4456449,-0.1503643,Holy Cow,51.44737123728931,-0.1490120053415368,Indian Restaurant
178,Balham,51.4456449,-0.1503643,Nando's,51.4458371,-0.1506027,Portuguese Restaurant
179,Balham,51.4456449,-0.1503643,Movers and Shapers,51.44614388868339,-0.14973713807361477,Gym
180,Balham,51.4456449,-0.1503643,Caffè Nero,51.44448391788302,-0.1519564486368692,Coffee Shop
181,Balham,51.4456449,-0.1503643,Haché,51.444087248592695,-0.15043964821576192,Burger Joint
182,Balham,51.4456449,-0.1503643,Costa Coffee,51.444126,-0.15240312,Coffee Shop
183,Balham,51.4456449,-0.1503643,Greggs,51.444310568251325,-0.15196056895309817,Bakery
184,Balham,51.4456449,-0.1503643,As Nature Intended,51.4438785490861,-0.15249772590374694,Organic Grocery
185,Balham,51.4456449,-0.1503643,TK Maxx,51.44438982572334,-0.15221770783494276,Clothing Store
186,Balham,51.4456449,-0.1503643,Megan’s On The Hill,51.443974,-0.150208,Restaurant
187,Balham,51.4456449,-0.1503643,PizzaExpress,51.44380852079482,-0.15007134416293866,Pizza Place
188,Balham,51.4456449,-0.1503643,Escape The Daily Grind,51.444892250285776,-0.1507305956367506,Café
189,Balham,51.4456449,-0.1503643,Domino's Pizza - London - Balham,51.44679662248339,-0.1491076509262257,Pizza Place
190,Balham,51.4456449,-0.1503643,WHSmith,51.44427511229909,-0.1522976189750289,Bookstore
191,Balham,51.4456449,-0.1503643,Lost & Found,51.44479643718709,-0.1509014413815227,Cocktail Bar
192,Balham,51.4456449,-0.1503643,Sainsbury's,51.443937024587775,-0.15171715785833617,Supermarket
193,Balham,51.4456449,-0.1503643,H Street Deli,51.44459,-0.15143484,Sandwich Place
194,Balham,51.4456449,-0.1503643,Punjab House,51.44686368000516,-0.1489071726465694,Indian Restaurant
195,Balham,51.4456449,-0.1503643,Boots Opticians,51.4444876,-0.1521703,Optical Shop
196,Balham,51.4456449,-0.1503643,Boots,51.44395178944361,-0.15234377689483816,Pharmacy
197,Balham,51.4456449,-0.1503643,Grain De Cafe,51.447643310152145,-0.14876804261427756,Breakfast Spot
198,Bankside,51.508302,-0.0962967,Shakespeare's Globe Theatre,51.50812143998158,-0.0969618558883667,Theater
199,Bankside,51.508302,-0.0962967,Tate Modern,51.50770408386703,-0.0994563102722168,Art Museum
200,Bankside,51.508302,-0.0962967,Jubilee Walkway,51.507733894903836,-0.09382427423980225,Pedestrian Plaza
201,Bankside,51.508302,-0.0962967,Turbine Hall,51.50781286613509,-0.09945448753074253,Art Museum
202,Bankside,51.508302,-0.0962967,Swan at the Globe,51.508300156198516,-0.09650509851132029,Restaurant
203,Bankside,51.508302,-0.0962967,Members Bar,51.507783592819315,-0.09936817252040796,Bar
204,Bankside,51.508302,-0.0962967,Tate Gallery Shop,51.50772077818504,-0.09947776794433594,Bookstore
205,Bankside,51.508302,-0.0962967,The Sam Wanamaker Playhouse,51.50797,-0.096577,Theater
206,Bankside,51.508302,-0.0962967,Shakespeare's Globe Exhibition,51.508076,-0.097455,Museum
207,Bankside,51.508302,-0.0962967,Kitchen and Bar,51.50761946357288,-0.09962827918122717,Bistro
208,Bankside,51.508302,-0.0962967,Shakespeare Globe Theatre Bookshop,51.50811604603763,-0.09665092978223536,Bookstore
209,Bankside,51.508302,-0.0962967,The Anchor,51.507446493714696,-0.09297781777740075,Pub
210,Bankside,51.508302,-0.0962967,High Timber,51.51011030303981,-0.097198445580729,Steakhouse
211,Bankside,51.508302,-0.0962967,Tas Pide,51.50773637081411,-0.09638815201091155,Turkish Restaurant
212,Bankside,51.508302,-0.0962967,Rothko Room,51.50770546258496,-0.09948244423264357,Art Gallery
213,Bankside,51.508302,-0.0962967,The Pepys,51.51033688430005,-0.09609350648971664,Bar
214,Bankside,51.508302,-0.0962967,Tate Modern Gardens,51.50819489426212,-0.09986400604248045,Park
215,Bankside,51.508302,-0.0962967,Zizzi,51.508041976862145,-0.0949201322191584,Italian Restaurant
216,Bankside,51.508302,-0.0962967,PizzaExpress,51.50819052859907,-0.09583702287102369,Pizza Place
217,Bankside,51.508302,-0.0962967,The Real Greek,51.508208194157746,-0.09543721449680645,Greek Restaurant
218,Bankside,51.508302,-0.0962967,Theo's Cafe,51.507336,-0.09595938,Café
219,Bankside,51.508302,-0.0962967,Tate Modern Café,51.5077274559105,-0.09943485260009766,Café
220,Bankside,51.508302,-0.0962967,Porky's,51.50752933076732,-0.09638963240996029,BBQ Joint
221,Bankside,51.508302,-0.0962967,Espresso Bar,51.50776752224283,-0.09947776794433594,Coffee Shop
222,Barbican,51.5201501,-0.0986832,St. John Bar and Restaurant,51.520437,-0.101382,English Restaurant
223,Barbican,51.5201501,-0.0986832,Ask For Janice,51.5191279178009,-0.10037390033325926,Modern European Restaurant
224,Barbican,51.5201501,-0.0986832,St Bartholomew the Great (St Bartholomew-the-Great),51.51863075215108,-0.09989039472471607,Church
225,Barbican,51.5201501,-0.0986832,Dose Espresso,51.51955256686316,-0.09940568990321098,Coffee Shop
226,Barbican,51.5201501,-0.0986832,Virgin Active,51.5202984,-0.0970355,Gym / Fitness Center
227,Barbican,51.5201501,-0.0986832,The Old Red Cow,51.51960714725316,-0.09915653866018344,Beer Bar
228,Barbican,51.5201501,-0.0986832,the Charterhouse London,51.52085011894743,-0.09930472100613773,Museum
229,Barbican,51.5201501,-0.0986832,Vinoteca,51.52008495720619,-0.10178042563655973,Wine Bar
230,Barbican,51.5201501,-0.0986832,Pixxa,51.52005286873513,-0.10163158178329468,Pizza Place
231,Barbican,51.5201501,-0.0986832,Half Cup,51.518015,-0.098654,Café
232,Barbican,51.5201501,-0.0986832,Redemption Roasters,51.51919,-0.100248,Coffee Shop
233,Barbican,51.5201501,-0.0986832,Club Gascon,51.518541,-0.100462,French Restaurant
234,Barbican,51.5201501,-0.0986832,Cellar Gascon,51.518612283924696,-0.10055952186065498,Wine Bar
235,Barbican,51.5201501,-0.0986832,Charterhouse Square,51.520661863632505,-0.09910908097542828,Plaza
236,Barbican,51.5201501,-0.0986832,The Fox and Anchor,51.520347358810874,-0.10053004879889023,Pub
237,Barnes,51.4718962,-0.2387441,Rocks Lane Multi Sports,51.471792816958235,-0.23624832730395548,Track
238,Barnsbury,51.5389351,-0.114735,Iberia Georgian Restaurant,51.53954056830214,-0.1168436225901588,Caucasian Restaurant
239,Barnsbury,51.5389351,-0.114735,The Cuckoo N1,51.54087029849766,-0.11357545852661133,Gastropub
240,Barnsbury,51.5389351,-0.114735,Co-op Food,51.5378453455787,-0.11685321201569444,Grocery Store
241,Barnsbury,51.5389351,-0.114735,Iceland,51.539583541782505,-0.11693734343065777,Grocery Store
242,Barnsbury,51.5389351,-0.114735,Joe's Cafe,51.54025887006401,-0.11545783078658571,Café
243,Barnsbury,51.5389351,-0.114735,Tfl bus stop M Story street,51.540436,-0.116741,Bus Stop
244,Battersea,51.4707933,-0.172214,doppio,51.47066879856415,-0.17039432749160274,Coffee Shop
245,Battersea,51.4707933,-0.172214,Flour to the People,51.4712406899118,-0.16891968912331645,Bakery
246,Battersea,51.4707933,-0.172214,Battersea Flower Station,51.47140558121336,-0.17042549638945526,Garden Center
247,Battersea,51.4707933,-0.172214,Park Road Kitchen Rotisserie and Deli,51.47075443539192,-0.17122180979265678,Deli / Bodega
248,Battersea,51.4707933,-0.172214,The Candlemaker,51.47060396124202,-0.17255761557876392,Pub
249,Battersea,51.4707933,-0.172214,Churrasco Chicken,51.47038393671668,-0.17201150050008,Portuguese Restaurant
250,Battersea,51.4707933,-0.172214,Greggs,51.46918180352044,-0.17106296338135982,Bakery
251,Battersea,51.4707933,-0.172214,Sainsbury's Local,51.47075230222681,-0.1701562048825611,Grocery Store
252,Battersea,51.4707933,-0.172214,The Asparagus (Wetherspoon),51.46985395752827,-0.1714830608035241,Pub
253,Battersea,51.4707933,-0.172214,Tesco Express,51.46934276065293,-0.17106324434280396,Grocery Store
254,Battersea,51.4707933,-0.172214,Pizza La Patrino,51.47027132576808,-0.17233981963059136,Pizza Place
255,Battersea,51.4707933,-0.172214,Papa John's Pizza,51.47053145417366,-0.1707923493661383,Pizza Place
256,Bayswater,51.5122764,-0.1883854,Amorino,51.51097165415829,-0.18717219339343222,Ice Cream Shop
257,Bayswater,51.5122764,-0.1883854,Barry's Bootcamp,51.51074,-0.187346,Gym / Fitness Center
258,Bayswater,51.5122764,-0.1883854,Gold Mine,51.51337864723379,-0.18756417306829726,Chinese Restaurant
259,Bayswater,51.5122764,-0.1883854,Boots,51.51389637227831,-0.1875217830674743,Pharmacy
260,Bayswater,51.5122764,-0.1883854,Santorini Taverna,51.51268242627496,-0.1882348971132198,Greek Restaurant
261,Bayswater,51.5122764,-0.1883854,MEATliquor,51.51096432210101,-0.18726370607150303,Burger Joint
262,Bayswater,51.5122764,-0.1883854,Mandarin Kitchen,51.510691312196045,-0.18706658472093635,Chinese Restaurant
263,Bayswater,51.5122764,-0.1883854,Aubaine,51.51024822878456,-0.18764172871317225,French Restaurant
264,Bayswater,51.5122764,-0.1883854,PureGym,51.512981814188656,-0.1903195240506725,Gym / Fitness Center
265,Bayswater,51.5122764,-0.1883854,Taza Kebab House,51.51132434786993,-0.18728859082787774,Kebab Restaurant
